Species,Common Name,Category,Type of Presence,Comments,Location(s),Kingdom,Phylum,Class,Order,Family,EPBC Act Threatened Fauna in Australia (Generated 2022-10-09 16:01:48)
Anthochaera phrygia,Regent Honeyeater,Critically Endangered,Present,,"ACT, NSW, QLD, SA, TER, VIC",Animalia,Chordata,Aves,Passeriformes,Meliphagidae,
Antipodia chaostola leucophaea,"Tasmanian Chaostola Skipper, Heath-sand Skipper",Endangered,Endemic,,TAS,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,
Aplonis fusca,Tasman Starling,Extinct,Extinct,Norfolk Island,"AET, NSW",Animalia,Chordata,Aves,Passeriformes,Sturnidae,
Aprasia parapulchella,"Pink-tailed Worm-lizard, Pink-tailed Legless Lizard",Vulnerable,Present,,"ACT, NSW, VIC",Animalia,Chordata,Reptilia,Squamata,Pygopodidae,
Aprasia pseudopulchella,Flinders Ranges Worm-lizard,Vulnerable,Endemic,,SA,Animalia,Chordata,Reptilia,Squamata,Pygopodidae,
Aquila audax fleayi,"Tasmanian Wedge-tailed Eagle, Wedge-tailed Eagle (Tasmanian)",Endangered,Endemic,,TAS,Animalia,Chordata,Aves,Falconiformes,Accipitridae,
Arctocephalus tropicalis,Subantarctic Fur-seal,Endangered,Present,,"AET, ANT, HI, OCE, TAS",Animalia,Chordata,Mammalia,Pinnipedia,Otariidae,
Arctocephalus tropicalis,Subantarctic Fur-seal,Endangered,Vagrant,,"SA, VIC, WA",Animalia,Chordata,Mammalia,Pinnipedia,Otariidae,
Argynnis hyperbius inconstans,Australian Fritillary,Critically Endangered,Present,,NSW,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,
Astacopsis gouldi,"Giant Freshwater Crayfish, Tasmanian Giant Freshwater Lobster",Vulnerable,Endemic,,TAS,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,
Atrichornis clamosus,"Noisy Scrub-bird, Tjimiluk",Endangered,Endemic,,WA,Animalia,Chordata,Aves,Passeriformes,Atrichornithidae,
Atrichornis rufescens,Rufous Scrub-bird,Endangered,Present,,"NSW, QLD",Animalia,Chordata,Aves,Passeriformes,Atrichornithidae,
Austrocordulia leonardi,Sydney Hawk Dragonfly,Endangered,Excluded,,NSW,Animalia,Arthropoda,Insecta,Odonata,Austrocorduliidae,
Balaenoptera borealis,Sei Whale,Vulnerable,Present,,"AET, ANT, CI, CKI, CSI, HI, NSW, OCE, QLD, SA, TAS, VIC, WA",Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,
Balaenoptera musculus,Blue Whale,Endangered,Present,,"ACR, AET, ANT, CI, CKI, CSI, HI, NI, NSW, NT, OCE, QLD, SA, TAS, VIC, WA",Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,
Balaenoptera physalus,Fin Whale,Vulnerable,Present,,"AET, ANT, HI, NSW, OCE, QLD, SA, TAS, VIC, WA",Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,
Bellatorias obiri,Arnhem Land Egernia,Endangered,Endemic,,NT,Animalia,Chordata,Reptilia,Squamata,Scincidae,
Bertmainius colonus,Eastern Stirling Range Pygmy Trapdoor Spider,Vulnerable,Endemic,,WA,Animalia,Arthropoda,Arachnida,Araneae,Migidae,
Bertmainius tingle,Tingle Pygmy Trapdoor Spider,Endangered,Endemic,,WA,Animalia,Arthropoda,Arachnida,Araneae,Migidae,
Bettongia anhydra,Desert Bettong,Extinct,Extinct,,"NT, WA",Animalia,Chordata,Mammalia,Diprotodonta,Potoroidae,
Bettongia gaimardi gaimardi,"Eastern Bettong (mainland), Eastern Rat-kangaroo",Extinct,Extinct,,"NSW, QLD, SA, VIC",Animalia,Chordata,Mammalia,Diprotodonta,Potoroidae,
Bettongia lesueur Barrow and Boodie Islands subspecies,"Boodie, Burrowing Bettong (Barrow and Boodie Islands)",Vulnerable,Endemic,,WA,Animalia,Chordata,Mammalia,Diprotodonta,Potoroidae,
Bettongia lesueur graii,"Boodie (inland), Burrowing Bettong (inland)",Extinct,Extinct,,"NSW, NT, SA, WA",Animalia,Chordata,Mammalia,Diprotodonta,Potoroidae,
Bettongia lesueur lesueur,"Burrowing Bettong (Shark Bay), Boodie",Vulnerable,Present,,WA,Animalia,Chordata,Mammalia,Diprotodonta,Potoroidae,
Bettongia lesueur lesueur,"Burrowing Bettong (Shark Bay), Boodie",Vulnerable,Translocated,,"NSW, SA",Animalia,Chordata,Mammalia,Diprotodonta,Potoroidae,
Bettongia penicillata ogilbyi,Woylie,Endangered,Present,,"SA, WA",Animalia,Chordata,Mammalia,Diprotodonta,Potoroidae,
Bettongia penicillata ogilbyi,Woylie,Endangered,Translocated,,NSW,Animalia,Chordata,Mammalia,Diprotodonta,Potoroidae,
Bettongia penicillata penicillata,"Brush-tailed Bettong (central and south-east), Brush-tailed Bettong (south-east mainland)",Extinct,Extinct,,"NSW, NT, SA, VIC, WA",Animalia,Chordata,Mammalia,Diprotodonta,Potoroidae,
Bettongia pusilla,Nullarbor Dwarf Bettong,Extinct,Extinct,,"SA, WA",Animalia,Chordata,Mammalia,Diprotodonta,Potoroidae,
Bettongia tropica,Northern Bettong,Endangered,Endemic,,QLD,Animalia,Chordata,Mammalia,Diprotodonta,Potoroidae,
Bettongia tropica,Northern Bettong,Endangered,Extinct in state,,NSW,Animalia,Chordata,Mammalia,Diprotodonta,Potoroidae,
Bidyanus bidyanus,"Silver Perch, Bidyan",Critically Endangered,Present,,"ACT, NSW, QLD, SA, VIC",Animalia,Chordata,Actinopterygii,Perciformes,Terapontidae,
Botaurus poiciloptilus,Australasian Bittern,Endangered,Present,,"ACT, NSW, QLD, SA, TAS, VIC, WA",Animalia,Chordata,Aves,Ardeiformes,Ardeidae,
Botaurus poiciloptilus,Australasian Bittern,Endangered,Vagrant,,NT,Animalia,Chordata,Aves,Ardeiformes,Ardeidae,
Brachionichthys hirsutus,Spotted Handfish,Critically Endangered,Endemic,,TAS,Animalia,Chordata,Actinopterygii,Lophiiformes,Brachionichthyidae,
Brachionichthys hirsutus,Spotted Handfish,Critically Endangered,Present,,OCE,Animalia,Chordata,Actinopterygii,Lophiiformes,Brachionichthyidae,
Brachiopsilus ziebelli,"Ziebell's Handfish, Waterfall Bay Handfish",Vulnerable,Endemic,,TAS,Animalia,Chordata,Actinopterygii,Lophiiformes,Brachionichthyidae,
Brachiopsilus ziebelli,"Ziebell's Handfish, Waterfall Bay Handfish",Vulnerable,Present,,OCE,Animalia,Chordata,Actinopterygii,Lophiiformes,Brachionichthyidae,
Burramys parvus,Mountain Pygmy-possum,Endangered,Present,,"NSW, VIC",Animalia,Chordata,Mammalia,Diprotodonta,Burramyidae,
Calamanthus cautus halmaturinus,Shy Heathwren (Kangaroo Island),Vulnerable,Endemic,,SA,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,
Calamanthus pyrrhopygius parkeri,Chestnut-rumped Heathwren (Mt Lofty Ranges),Endangered,Present,,SA,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,
Calidris canutus,"Red Knot, Knot",Endangered,Present,,"NSW, NT, OCE, QLD, SA, TAS, VIC, WA",Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,
Calidris ferruginea,Curlew Sandpiper,Critically Endangered,Present,,"NSW, NT, OCE, QLD, SA, TAS, TER, VIC, WA",Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,
Calidris tenuirostris,Great Knot,Critically Endangered,Present,,"NSW, NT, OCE, QLD, SA, TAS, VIC, WA",Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,
Callocephalon fimbriatum,Gang-gang Cockatoo,Endangered,Present,,NSW,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,
Caloprymnus campestris,Desert Rat-kangaroo,Extinct,Extinct,,"QLD, SA",Animalia,Chordata,Mammalia,Diprotodonta,Potoroidae,
Calyptorhynchus banksii graptogyne,South-eastern Red-tailed Black-Cockatoo,Endangered,Present,,"SA, VIC",Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,
Calyptorhynchus banksii naso,"Forest Red-tailed Black-Cockatoo, Karrak",Vulnerable,Endemic,,WA,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,
Calyptorhynchus baudinii,"Baudin's Cockatoo, Long-billed Black-Cockatoo",Endangered,Endemic,,WA,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,
Calyptorhynchus lathami halmaturinus,"Kangaroo Island Glossy Black-Cockatoo, Glossy Black-Cockatoo (South Australian)",Endangered,Endemic,,SA,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,
Calyptorhynchus lathami lathami,South-eastern Glossy Black-Cockatoo,Vulnerable,Present,,"ACT, NSW, QLD, TER, VIC",Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,
Calyptorhynchus latirostris,"Carnaby's Cockatoo,  Short-billed Black-Cockatoo",Endangered,Endemic,,WA,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,
Carcharias taurus (east coast population),Grey Nurse Shark (east coast population),Critically Endangered,Present,,"NSW, OCE, QLD, TAS, TER, VIC",Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,
Carcharias taurus (west coast population),Grey Nurse Shark (west coast population),Vulnerable,Present,,"OCE, WA",Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,
Carcharodon carcharias,"White Shark, Great White Shark",Vulnerable,Present,,"ACR, CI, CKI, CSI, NI, NSW, NT, OCE, QLD, SA, TAS, TER, VIC, WA",Animalia,Chordata,Chondrichthyes,Lamniformes,Lamnidae,
Caretta caretta,Loggerhead Turtle,Endangered,Present,,"ACR, CI, CKI, CSI, NI, NSW, NT, OCE, QLD, SA, TAS, TER, VIC, WA",Animalia,Chordata,Reptilia,Testudines,Cheloniidae,
Casuarius casuarius johnsonii,"Southern Cassowary, Australian Cassowary, Double-wattled Cassowary",Endangered,Endemic,,QLD,Animalia,Chordata,Aves,Struthioniformes,Casuariidae,
Centrophorus harrissoni,"Harrisson's Dogfish, Endeavour Dogfish, Dumb Gulper Shark, Harrison's Deepsea Dogfish",Conservation Dependent,Present,,"CSI, NI, OCE",Animalia,Chordata,Chondrichthyes,Sqaliformes,Centrophoridae,
Centrophorus zeehaani,"Southern Dogfish, Endeavour Dogfish, Little Gulper Shark",Conservation Dependent,Present,,"OCE, SA",Animalia,Chordata,Chondrichthyes,Sqaliformes,Centrophoridae,
Cereopsis novaehollandiae grisea,"Cape Barren Goose (south-western), Recherche Cape Barren Goose",Vulnerable,Endemic,,WA,Animalia,Chordata,Aves,Anseriformes,Anatidae,
Cereopsis novaehollandiae grisea,"Cape Barren Goose (south-western), Recherche Cape Barren Goose",Vulnerable,Present,,OCE,Animalia,Chordata,Aves,Anseriformes,Anatidae,
Ceyx azureus diemenensis,Tasmanian Azure Kingfisher,Endangered,Endemic,,TAS,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,
Chaeropus ecaudatus,"Pig-footed Bandicoot, Kanjilpa, Wilalya",Extinct,Extinct,,"NSW, NT, QLD, SA, VIC, WA",Animalia,Chordata,Mammalia,Polyprotodonta,Peramelidae,
Chaeropus yirratji,"Yirratji, Northern Pig-footed Bandicoot",Extinct,Extinct,,"NT, QLD, SA, WA",Animalia,Chordata,Mammalia,Polyprotodonta,Peramelidae,
Chalcophaps indica natalis,"Christmas Island Emerald Dove, Emerald Dove (Christmas Island)",Endangered,Endemic,Christmas Island,"AET, CI",Animalia,Chordata,Aves,Columbiformes,Columbidae,
Chalinolobus dwyeri,"Large-eared Pied Bat, Large Pied Bat",Vulnerable,Present,,"NSW, QLD, TER",Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,
Charadrius leschenaultii,"Greater Sand Plover, Large Sand Plover",Vulnerable,Present,,"ACR, CI, NSW, NT, OCE, QLD, SA, TAS, VIC, WA",Animalia,Chordata,Aves,Charadriiformes,Charadriidae,
Charadrius mongolus,"Lesser Sand Plover, Mongolian Plover",Endangered,Present,,"CSI, NSW, NT, OCE, QLD, SA, TAS, VIC, WA",Animalia,Chordata,Aves,Charadriiformes,Charadriidae,
Chelonia mydas,Green Turtle,Vulnerable,Present,,"ACR, AET, CI, CKI, CSI, NI, NSW, NT, OCE, QLD, SA, TAS, TER, VIC, WA",Animalia,Chordata,Reptilia,Testudines,Cheloniidae,
Cherax tenuimanus,"Hairy Marron, Margaret River Hairy Marron, Margaret River Marron",Critically Endangered,Endemic,,WA,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,
Chlamydogobius micropterus,Elizabeth Springs Goby,Endangered,Endemic,,QLD,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,
Chlamydogobius squamigenus,Edgbaston Goby,Vulnerable,Endemic,,QLD,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,
Christinus guentheri,"Lord Howe Island Gecko, Lord Howe Island Southern Gecko ",Vulnerable,Present,,"AET, NI, NSW",Animalia,Chordata,Reptilia,Squamata,Gekkonidae,
Cinclosoma punctatum anachoreta,"Mt Lofty Ranges Spotted Quail-thrush, Spotted Quail-thrush (Mt Lofty Ranges)",Critically Endangered,Endemic,,SA,Animalia,Chordata,Aves,Passeriformes,Cinclosomatidae,
Coeranoscincus reticulatus,Three-toed Snake-tooth Skink,Vulnerable,Present,,"NSW, QLD",Animalia,Chordata,Reptilia,Squamata,Scincidae,
Columba vitiensis godmanae,"Lord Howe White-throated Pigeon, White-throated Pigeon (Lord Howe Island)",Extinct,Extinct,Lord Howe Island,NSW,Animalia,Chordata,Aves,Columbiformes,Columbidae,
Conilurus albipes,"White-footed Rabbit-rat, Parroo, White-footed Tree-rat",Extinct,Extinct,,"NSW, QLD, SA, VIC",Animalia,Chordata,Mammalia,Rodentia,Muridae,
Conilurus capricornensis,Capricorn Rabbit-rat,Extinct,Extinct,,QLD,Animalia,Chordata,Mammalia,Rodentia,Muridae,
Conilurus penicillatus,"Brush-tailed Rabbit-rat, Brush-tailed Tree-rat, Pakooma",Vulnerable,Present,,"NT, QLD, WA",Animalia,Chordata,Mammalia,Rodentia,Muridae,
Cophixalus aenigma,Tapping Nursery-frog,Endangered,Present,,QLD,Animalia,Chordata,Amphibia,Anura,Microhylidae,
Cophixalus concinnus,Elegant Frog,Critically Endangered,Present,,QLD,Animalia,Chordata,Amphibia,Anura,Microhylidae,
Cophixalus hosmeri,"Hosmer's Frog, Rattling Nursery-frog",Critically Endangered,Present,,QLD,Animalia,Chordata,Amphibia,Anura,Microhylidae,
Cophixalus mcdonaldi,"McDonald's Frog, Mt Elliot Nursery-frog",Critically Endangered,Present,,QLD,Animalia,Chordata,Amphibia,Anura,Microhylidae,
Cophixalus monticola,Mountain-top Nursery-frog,Critically Endangered,Present,,QLD,Animalia,Chordata,Amphibia,Anura,Microhylidae,
Cophixalus neglectus,"Neglected Frog, Bellenden Ker Nursery-frog",Critically Endangered,Present,,QLD,Animalia,Chordata,Amphibia,Anura,Microhylidae,
Craterocephalus fluviatilis,Murray Hardyhead,Endangered,Present,,"NSW, SA, VIC",Animalia,Chordata,Actinopterygii,Atheriniformes,Atherinidae,
Crinia sloanei,Sloane's Froglet,Endangered,Present,,"NSW, VIC",Animalia,Chordata,Amphibia,Anura,Myobatrachidae,
Crocidura trichura,Christmas Island Shrew,Critically Endangered,Endemic,,"AET, CI",Animalia,Chordata,Mammalia,Insectivora,Soricidae,
Cryptoblepharus egeriae,"Christmas Island Blue-tailed Skink, Blue-tailed Snake-eyed Skink",Critically Endangered,Present,,"AET, CI",Animalia,Chordata,Reptilia,Squamata,Scincidae,
Cryptoblepharus gurrmul,Arafura Snake-eyed Skink,Endangered,Present,,NT,Animalia,Chordata,Reptilia,Squamata,Scincidae,
Ctenophorus yinnietharra,Yinnietharra Rock-Dragon,Vulnerable,Endemic,,WA,Animalia,Chordata,Reptilia,Squamata,Agamidae,
Ctenotus lancelini,Lancelin Island Skink,Vulnerable,Endemic,,WA,Animalia,Chordata,Reptilia,Squamata,Scincidae,
Ctenotus serotinus,Gravel Downs Ctenotus,Critically Endangered,Present,,QLD,Animalia,Chordata,Reptilia,Squamata,Scincidae,
Ctenotus zastictus,Hamelin Ctenotus,Vulnerable,Endemic,,WA,Animalia,Chordata,Reptilia,Squamata,Scincidae,
Cyanoramphus cookii,"Norfolk Island Green Parrot, Tasman Parakeet, Norfolk Island Parakeet",Endangered,Endemic,,"AET, NI",Animalia,Chordata,Aves,Psittaciformes,Psittacidae,
Cyanoramphus novaezelandiae erythrotis,"Macquarie Island Red-fronted Parakeet, Red-crowned Parakeet (Macquarie Island)",Extinct,Extinct,Macquarie Island,"AET, TAS",Animalia,Chordata,Aves,Psittaciformes,Psittacidae,
Cyanoramphus novaezelandiae subflavescens,"Lord Howe Tasman Parakeet, Red-crowned Parakeet (Lord Howe Island)",Extinct,Extinct,Lord Howe Island,NSW,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,
Cyclodomorphus praealtus,Alpine She-oak Skink,Endangered,Present,,"NSW, VIC",Animalia,Chordata,Reptilia,Squamata,Scincidae,
Cyclopsitta diophthalma coxeni,Coxen's Fig-Parrot,Endangered,Present,,"NSW, QLD",Animalia,Chordata,Aves,Psittaciformes,Psittacidae,
Cyrtodactylus sadleiri,Christmas Island Giant Gecko,Endangered,Present,,"AET, CI",Animalia,Chordata,Reptilia,Squamata,Gekkonidae,
Dasyornis brachypterus,Eastern Bristlebird,Endangered,Present,,"NSW, QLD, TER, VIC",Animalia,Chordata,Aves,Passeriformes,Dasyornithidae,
Dasyornis broadbenti litoralis,"Rufous Bristlebird (western), South-western Rufous Bristlebird",Extinct,Extinct,,WA,Animalia,Chordata,Aves,Passeriformes,Dasyornithidae,
Dasyornis longirostris,Western Bristlebird,Endangered,Endemic,,WA,Animalia,Chordata,Aves,Passeriformes,Dasyornithidae,
Dasyuroides byrnei,"Kowari, brushy-tailed marsupial rat, Byrne's crest-tailed marsupial rat ",Vulnerable,Present,,"NT, QLD, SA",Animalia,Chordata,Mammalia,Polyprotodonta,Dasyuridae,
Dasyurus geoffroii,"Chuditch, Western Quoll",Vulnerable,Endemic,,WA,Animalia,Chordata,Mammalia,Polyprotodonta,Dasyuridae,
Dasyurus geoffroii,"Chuditch, Western Quoll",Vulnerable,Present,,"NSW, NT, QLD, SA",Animalia,Chordata,Mammalia,Polyprotodonta,Dasyuridae,
Dasyurus hallucatus,"Northern Quoll, Digul [Gogo-Yimidir], Wijingadda [Dambimangari], Wiminji [Martu]",Endangered,Present,,"NT, QLD, WA",Animalia,Chordata,Mammalia,Polyprotodonta,Dasyuridae,
Dasyurus maculatus gracilis,"Spotted-tailed Quoll (North Queensland), Yarri ",Endangered,Endemic,,QLD,Animalia,Chordata,Mammalia,Polyprotodonta,Dasyuridae,
Dasyurus maculatus maculatus (SE mainland population),"Spot-tailed Quoll, Spotted-tail Quoll, Tiger Quoll (southeastern mainland population)",Endangered,Present,,"ACT, NSW, QLD, SA, TER, VIC",Animalia,Chordata,Mammalia,Polyprotodonta,Dasyuridae,
Dasyurus maculatus maculatus (Tasmanian population),"Spotted-tail Quoll, Spot-tailed Quoll, Tiger Quoll (Tasmanian population)",Vulnerable,Endemic,,TAS,Animalia,Chordata,Mammalia,Polyprotodonta,Dasyuridae,
Dasyurus viverrinus,"Eastern Quoll, Luaner",Endangered,Present,,"NSW, SA, TAS, VIC",Animalia,Chordata,Mammalia,Polyprotodonta,Dasyuridae,
Delma impar,"Striped Legless Lizard, Striped Snake-lizard",Vulnerable,Present,,"ACT, NSW, SA, VIC",Animalia,Chordata,Reptilia,Squamata,Pygopodidae,
Delma mitella,"Atherton Delma, Legless Lizard",Vulnerable,Endemic,,QLD,Animalia,Chordata,Reptilia,Squamata,Pygopodidae,
Delma torquata,"Adorned Delma, Collared Delma",Vulnerable,Endemic,,QLD,Animalia,Chordata,Reptilia,Squamata,Pygopodidae,
Delma torquata,"Adorned Delma, Collared Delma",Vulnerable,Present,,NSW,Animalia,Chordata,Reptilia,Squamata,Pygopodidae,
Dendronephthya australis,Cauliflower Soft Coral,Endangered,Endemic,,NSW,Animalia,Cnidaria,Anthozoa,Alcyonacea,Nephtheidae,
Denisonia maculata,Ornamental Snake,Vulnerable,Endemic,,QLD,Animalia,Chordata,Reptilia,Squamata,Elapidae,
Dermochelys coriacea,"Leatherback Turtle, Leathery Turtle, Luth",Endangered,Present,,"ACR, AET, CI, CKI, CSI, NI, NSW, NT, OCE, QLD, SA, TAS, TER, VIC, WA",Animalia,Chordata,Reptilia,Testudines,Dermochelyidae,
Diomedea amsterdamensis,Amsterdam Albatross,Endangered,Present,,"OCE, WA",Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,
Diomedea antipodensis,Antipodean Albatross,Vulnerable,Present,,"NI, NSW, OCE, QLD, SA, TAS, TER, VIC, WA",Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,
Diomedea antipodensis gibsoni,Gibson's Albatross,Vulnerable,Present,,"HI, NI, NSW, OCE, QLD, TAS, TER, VIC",Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,
Diomedea dabbenena,Tristan Albatross,Endangered,Present,,"OCE, QLD, SA, WA",Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,
Diomedea epomophora,Southern Royal Albatross,Vulnerable,Present,,"ANT, HI, NI, NSW, OCE, QLD, SA, TAS, TER, VIC, WA",Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,
Diomedea exulans,Wandering Albatross,Vulnerable,Present,,"AET, ANT, CSI, HI, NI, NSW, OCE, QLD, SA, TAS, TER, VIC, WA",Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,
Diomedea sanfordi,Northern Royal Albatross,Endangered,Present,,"ANT, HI, NI, NSW, OCE, QLD, SA, TAS, TER, VIC, WA",Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,
Dromaius ater,King Island Emu,Extinct,Extinct,,TAS,Animalia,Chordata,Aves,Struthioniformes,Dromaiidae,
Dromaius baudinianus,Kangaroo Island Emu,Extinct,Extinct,Kangaroo Island,SA,Animalia,Chordata,Aves,Struthioniformes,Dromaiidae,
Dromaius novaehollandiae diemenensis,"Tasmanian Emu, Emu (Tasmanian)",Extinct,Extinct,,TAS,Animalia,Chordata,Aves,Struthioniformes,Dromaiidae,
Dryococelus australis,"Lord Howe Island Phasmid, Land Lobster",Critically Endangered,Endemic,Lord Howe Island,NSW,Animalia,Arthropoda,Insecta,Phasmatodea,Phasmatidae,
Egernia roomi,"Kaputar Rock Skink, Mt Kaputar Rock Skink",Critically Endangered,Endemic,,NSW,Animalia,Chordata,Reptilia,Squamata,Scincidae,
Egernia rugosa,Yakka Skink,Vulnerable,Endemic,,QLD,Animalia,Chordata,Reptilia,Squamata,Scincidae,
Egernia rugosa,Yakka Skink,Vulnerable,Present,,NSW,Animalia,Chordata,Reptilia,Squamata,Scincidae,
Egernia stokesii badia,"Western Spiny-tailed Skink, Baudin Island Spiny-tailed Skink",Endangered,Endemic,,WA,Animalia,Chordata,Reptilia,Squamata,Scincidae,
Elseya albagula,"Southern Snapping Turtle, White-throated Snapping Turtle",Critically Endangered,Present,,QLD,Animalia,Chordata,Reptilia,Testudines,Chelidae,
Elseya lavarackorum,Gulf Snapping Turtle,Endangered,Present,,"NT, QLD",Animalia,Chordata,Reptilia,Testudines,Chelidae,
Elusor macrurus,"Mary River Turtle, Mary River Tortoise",Endangered,Endemic,,QLD,Animalia,Chordata,Reptilia,Testudines,Chelidae,
Emoia nativitatis,"Christmas Island Forest Skink, Christmas Island Whiptail-skink",Extinct,Present,,"AET, CI",Animalia,Chordata,Reptilia,Squamata,Scincidae,
Engaeus granulatus,Central North Burrowing Crayfish,Endangered,Endemic,,TAS,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,
Engaeus martigener,Furneaux Burrowing Crayfish,Endangered,Endemic,,TAS,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,
Engaeus orramakunna,Mount Arthur Burrowing Crayfish,Vulnerable,Endemic,,TAS,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,
Engaeus spinicaudatus,Scottsdale Burrowing Crayfish,Endangered,Endemic,,TAS,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,
Engaeus yabbimunna,Burnie Burrowing Crayfish,Vulnerable,Endemic,,TAS,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,
Engaewa pseudoreducta,Margaret River Burrowing Crayfish,Critically Endangered,Endemic,,WA,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,
Engaewa reducta,Dunsborough Burrowing Crayfish,Critically Endangered,Endemic,,WA,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,
Engaewa walpolea,Walpole Burrowing Crayfish,Endangered,Endemic,,WA,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,
Epinephelus daemelii,"Black Rockcod, Black Cod, Saddled Rockcod",Vulnerable,Present,,"CSI, NI, NSW, OCE, QLD, TER, VIC",Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,
Epthianura crocea macgregori,"Capricorn Yellow Chat, Yellow Chat (Dawson)",Critically Endangered,Endemic,,QLD,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,
Epthianura crocea tunneyi,"Alligator Rivers Yellow Chat, Yellow Chat (Alligator Rivers)",Endangered,Endemic,,NT,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,
Eretmochelys imbricata,Hawksbill Turtle,Vulnerable,Possible,,VIC,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,
Eretmochelys imbricata,Hawksbill Turtle,Vulnerable,Present,,"ACR, AET, CI, CKI, CSI, NI, NSW, NT, OCE, QLD, TAS, TER, WA",Animalia,Chordata,Reptilia,Testudines,Cheloniidae,
Erythrotriorchis radiatus,Red Goshawk,Vulnerable,Present,,"NSW, NT, QLD, WA",Animalia,Chordata,Aves,Falconiformes,Accipitridae,
Erythrura gouldiae,Gouldian Finch,Endangered,Present,,"NT, QLD, WA",Animalia,Chordata,Aves,Passeriformes,Estrildidae,
Euastacus bindal,"freshwater crayfish, spiny crayfish",Critically Endangered,Present,,QLD,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,
Euastacus bispinosus,"Glenelg Spiny Freshwater Crayfish, Pricklyback",Endangered,Present,,"SA, VIC",Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,
Euastacus dharawalus,Fitzroy Falls Spiny Crayfish,Critically Endangered,Endemic,,NSW,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,
Eubalaena australis,Southern Right Whale,Endangered,Present,,"AET, ANT, CSI, HI, NI, NSW, OCE, QLD, SA, TAS, TER, VIC, WA",Animalia,Chordata,Mammalia,Cetacea,Balaenidae,
Eulamprus leuraensis,Blue Mountains Water Skink,Endangered,Endemic,,NSW,Animalia,Chordata,Reptilia,Squamata,Scincidae,
Eulamprus tympanum marnieae,"Corangamite Water Skink, Dreeite Water Skink",Endangered,Endemic,,VIC,Animalia,Chordata,Reptilia,Squamata,Scincidae,
Falco hypoleucos,Grey Falcon,Vulnerable,Present,,"ACT, NSW, NT, QLD, SA, VIC, WA",Animalia,Chordata,Aves,Falconiformes,Falconidae,
Falcunculus frontatus whitei,"Crested Shrike-tit (northern), Northern Shrike-tit",Vulnerable,Present,,"NT, WA",Animalia,Chordata,Aves,Passeriformes,Pachycephalidae,
Fregata andrewsi,"Christmas Island Frigatebird, Andrew's Frigatebird",Endangered,Present,Christmas Island,"AET, CI, OCE",Animalia,Chordata,Aves,Pelecaniformes,Fregatidae,
